"","NAME","NUMLANES","CAPPRT","V0PRT"
"7","1ao 4FS 140",4,6000,"140km/h"
"8","1ao 4FS 120",4,6000,"120km/h"
"9","1ao 4FS 100",4,5600,"100km/h"
"10","1ao 4FS 80",4,5600,"80km/h"
"11","1ao 3FS 140",3,4500,"140km/h"
"12","1ao 3FS 120",3,4500,"120km/h"
"13","1ao 3FS 100",3,4200,"100km/h"
"14","1ao 3FS 80",3,4200,"80km/h"
"15","1ao 2FS 140",2,3000,"140km/h"
"16","1ao 2FS 120",2,3000,"120km/h"
"17","1ao 2FS 100",2,2800,"100km/h"
"18","1ao 2FS 80",2,2800,"80km/h"
"19","1ao 1FS 100",1,1300,"100km/h"
"20","1ao 1FS 80",1,1300,"80km/h"
"21","2ao 3FS 120",3,4500,"120km/h"
"22","2ao 3FS 100",3,4500,"100km/h"
"23","2ao 3FS 80",3,4500,"80km/h"
"24","2ao 2FS 120",2,3000,"120km/h"
"25","2ao 2FS 100",2,3000,"100km/h"
"26","2ao 2FS 80",2,3000,"80km/h"
"27","2ao 1FS 120",1,1400,"120km/h"
"28","2ao 1FS 100",1,1400,"100km/h"
"29","2ao 1FS 80",1,1400,"80km/h"
"30","2ao 1FS 70",1,1400,"70km/h"
"31","2af 3FS 80",3,4200,"80km/h"
"32","2af 3FS 70",3,4200,"70km/h"
"33","2af 3FS 60",3,4200,"60km/h"
"34","2af 2FS 80",2,2800,"80km/h"
"35","2af 2FS 70",2,2800,"70km/h"
"36","2af 2FS 60",2,2800,"60km/h"
"37","2af 1FS 80",1,1300,"80km/h"
"38","2af 1FS 70",1,1300,"70km/h"
"39","2af 1FS 60",1,1300,"60km/h"
"40","2af 1FS 50",1,1300,"50km/h"
"41","2io 4FS 60",4,4400,"60km/h"
"42","2io 3FS 60",3,3300,"60km/h"
"43","2io 3FS 50",3,3300,"50km/h"
"44","2io 2FS 60",2,2200,"60km/h"
"45","2io 2FS 55",2,2200,"55km/h"
"46","2io 2FS 50",2,2000,"50km/h"
"47","2io 1FS 60",1,1000,"54km/h"
"48","2io 1FS 50",1,1000,"45km/h"
"49","2io 1FS 45",1,900,"41km/h"
"50","2io 1FS 40",1,800,"36km/h"
"51","R 2FS  80",2,1600,"80km/h"
"52","R 2FS 60",2,1600,"60km/h"
"53","R 1FS 80",1,1100,"80km/h"
"54","R 1FS 60",1,900,"60km/h"
"55","R 1FS 40",1,700,"40km/h"
"61","3ao 2FS 120",2,2600,"120km/h"
"62","3ao 2FS 100",2,2600,"100km/h"
"63","3ao 2FS 80",2,2400,"80km/h"
"64","3ao 2FS 70",2,2200,"70km/h"
"65","3ao 1FS 100",1,1100,"100km/h"
"66","3ao 1FS 80",1,1200,"80km/h"
"67","3ao 1FS 70",1,1100,"70km/h"
"68","3ao 1FS 60",1,1000,"60km/h"
"69","3af 2FS 80",2,2600,"80km/h"
"70","3af 2FS 70",2,2600,"70km/h"
"71","3af 2FS 60",2,2400,"60km/h"
"72","3af 1FS 70",1,1000,"70km/h"
"73","3af 1FS 60",1,900,"60km/h"
"74","3io 2FS 60",2,2200,"60km/h"
"75","3io 2FS 50",2,2200,"50km/h"
"76","3io 2FS 40",2,2000,"40km/h"
"77","3io 1FS 60",1,1100,"54km/h"
"78","3io 1FS 50",1,1000,"45km/h"
"79","3io 1FS 40",1,900,"36km/h"
"80","3io 1FS 30",1,800,"27km/h"
"81","4ao 1FS 70",1,1100,"70km/h"
"82","4ao 1FS 60",1,1000,"60km/h"
"83","4ao 1FS 50",1,900,"50km/h"
"84","4ao 1FS 40",1,800,"40km/h"
"85","4af 1FS 65",1,900,"65km/h"
"86","4af 1FS 55",1,800,"55km/h"
"87","4io 2FS 45",2,1600,"45km/h"
"88","4io 2FS 35",2,1400,"35km/h"
"89","4io 1FS 45",1,800,"41km/h"
